duration liters month hour day max_flow fixture num_fixture av_flow_rate sec_from_midnight
26 933 6 8 0 38 washbasin 4 35.8846153846154 22110
26 928 5 14 0 38 washbasin 4 35.6923076923077 45339
18 926 5 11 5 56 washbasin 4 51.4444444444444 34582
14 926 7 8 2 76 washbasin 4 66.1428571428571 22932
24 923 2 8 1 42 washbasin 4 38.4583333333333 27097
20 923 7 8 1 47 washbasin 4 46.15 24572
13 922 6 23 0 74 washbasin 4 70.9230769230769 77579
16 921 3 4 6 60 washbasin 4 57.5625 12116
25 921 6 10 4 38 washbasin 4 36.84 31288
17 919 5 7 5 58 washbasin 4 54.0588235294118 20143
24 919 8 10 5 40 washbasin 4 38.2916666666667 31163
26 918 9 19 1 38 washbasin 4 35.3076923076923 64293
13 915 6 8 0 78 washbasin 4 70.3846153846154 21841
23 912 3 0 4 45 washbasin 4 39.6521739130435 82907
19 907 3 20 4 49 washbasin 4 47.7368421052632 70776
29 906 4 19 2 33 washbasin 4 31.2413793103448 61230
24 906 10 8 3 38 washbasin 4 37.75 22332
13 902 3 11 5 74 washbasin 4 69.3846153846154 36011
27 902 10 8 4 36 washbasin 4 33.4074074074074 22495
13 899 7 13 1 87 washbasin 4 69.1538461538462 41108
11 898 6 17 6 92 washbasin 4 81.6363636363636 55597
28 896 3 12 5 33 washbasin 4 32 42236
22 896 9 0 1 45 washbasin 4 40.7272727272727 81104
24 895 5 20 4 40 washbasin 4 37.2916666666667 67403
37 895 6 10 1 29 washbasin 4 24.1891891891892 31502
17 895 9 20 6 58 washbasin 4 52.6470588235294 65281
22 894 8 20 4 42 washbasin 4 40.6363636363636 65734
25 894 10 22 0 40 washbasin 4 35.76 77339
26 893 4 7 3 36 washbasin 4 34.3461538461538 19832
48 893 4 11 1 22 washbasin 4 18.6041666666667 35233
22 892 7 18 2 42 washbasin 4 40.5454545454546 58236
13 889 9 17 1 72 washbasin 4 68.3846153846154 55245
16 888 5 23 0 101 washbasin 4 55.5 77999
13 884 2 17 2 74 washbasin 4 68 60987
11 883 2 20 3 83 washbasin 4 80.2727272727273 68896
11 881 3 14 6 87 washbasin 4 80.0909090909091 48876
27 881 10 9 0 36 washbasin 4 32.6296296296296 28828
12 881 10 19 0 81 washbasin 4 73.4166666666667 67458
11 876 3 10 4 119 washbasin 4 79.6363636363636 35654
40 876 6 8 0 31 washbasin 4 21.9 23242
30 876 6 8 3 31 washbasin 4 29.2 23355
14 872 2 21 2 67 washbasin 4 62.2857142857143 72154
30 869 6 9 6 31 washbasin 4 28.9666666666667 26740
17 868 2 21 2 56 washbasin 4 51.0588235294118 74404
16 867 8 20 4 56 washbasin 4 54.1875 67696
45 864 7 10 0 20 washbasin 4 19.2 29913
15 862 10 11 6 63 washbasin 4 57.4666666666667 35821
24 858 3 23 4 38 washbasin 4 35.75 80805
19 858 4 11 0 49 washbasin 4 45.1578947368421 33782
19 858 9 0 2 47 washbasin 4 45.1578947368421 79750
78 855 3 12 5 18 washbasin 4 10.9615384615385 41849
25 854 5 10 5 38 washbasin 4 34.16 29917
30 851 4 18 4 31 washbasin 4 28.3666666666667 60109
18 847 2 0 2 49 washbasin 4 47.0555555555556 84380
37 847 5 8 4 29 washbasin 4 22.8918918918919 22781
29 847 9 17 2 31 washbasin 4 29.2068965517241 55975
13 846 10 15 4 67 washbasin 4 65.0769230769231 46988
22 845 10 19 3 42 washbasin 4 38.4090909090909 61222
30 844 5 8 3 31 washbasin 4 28.1333333333333 24233
40 844 5 8 4 24 washbasin 4 21.1 22784
29 844 6 18 4 31 washbasin 4 29.1034482758621 58854
